
__MAGICC 7.X DATA OUTPUT FILE__

OUTPUT:  DAT_SURFACE_TEMP
RUN:   SLR_AISSID_RCP26                                                                                                              
RUN_ID:                               1
DATE:   No Date specified.                                                                                                            
MAGICC-VERSION:   7.0.0.1 BETA, MAY 2016                                                                              

&THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS=          0,
 THISFILE_FIRSTYEAR=       1850,
 THISFILE_LASTYEAR=       2500,
 THISFILE_ANNUALSTEPS=          1,
 THISFILE_FIRSTDATAROW=         21,
 THISFILE_UNITS="K                                                                                                   ",
 THISFILE_DATTYPE="FOURBOXDATA                                                                                         ",
 /

   YEARS   GLOBAL    NH-OCEAN   NH-LAND   SH-OCEAN   SH-LAND
      2051      0.20391708E+01      0.17068260E+01      0.28644918E+01      0.17044943E+01      0.25654551E+01
      2052      0.19111695E+01      0.16886067E+01      0.24586461E+01      0.16940339E+01      0.22477570E+01
      2053      0.19730686E+01      0.18149683E+01      0.24404449E+01      0.17684457E+01      0.22447459E+01
      2054      0.19703580E+01      0.18664553E+01      0.24528707E+01      0.16471868E+01      0.25080414E+01
      2055      0.20534907E+01      0.18578675E+01      0.29079513E+01      0.16606804E+01      0.23625768E+01
      2056      0.20588307E+01      0.19235965E+01      0.27293218E+01      0.16891426E+01      0.24820836E+01
      2057      0.19879677E+01      0.17038954E+01      0.27975031E+01      0.16435618E+01      0.24490992E+01
      2058      0.19050838E+01      0.16780031E+01      0.24017029E+01      0.16454037E+01      0.25159124E+01
      2059      0.19189333E+01      0.18361016E+01      0.24023132E+01      0.16403743E+01      0.22288589E+01
      2060      0.19773688E+01      0.18598571E+01      0.25505295E+01      0.16961083E+01      0.22136790E+01
      2061      0.21057787E+01      0.19104118E+01      0.29614334E+01      0.16545589E+01      0.26315002E+01
      2062      0.20172872E+01      0.18495082E+01      0.26474940E+01      0.16884314E+01      0.24573873E+01
      2063      0.18128828E+01      0.17685935E+01      0.20587845E+01      0.15660069E+01      0.23721263E+01
      2064      0.18683599E+01      0.17151629E+01      0.26029002E+01      0.15086917E+01      0.21754328E+01
      2065      0.19980426E+01      0.18396117E+01      0.27687988E+01      0.16240744E+01      0.23009338E+01
      2066      0.19923914E+01      0.16608076E+01      0.29235458E+01      0.15986157E+01      0.25272319E+01
      2067      0.17530178E+01      0.16372167E+01      0.22539978E+01      0.15322558E+01      0.19013748E+01
      2068      0.18745878E+01      0.18636126E+01      0.23096237E+01      0.16131673E+01      0.20182673E+01
      2069      0.19479603E+01      0.17464498E+01      0.27033488E+01      0.16385522E+01      0.21576996E+01
      2070      0.18880134E+01      0.16885330E+01      0.25844447E+01      0.15886341E+01      0.21723328E+01
      2071      0.19135644E+01      0.17756822E+01      0.25715968E+01      0.16679161E+01      0.19024226E+01
      2072      0.19397050E+01      0.16558317E+01      0.25928014E+01      0.17559322E+01      0.21088791E+01
      2073      0.19439765E+01      0.16693379E+01      0.25826874E+01      0.17010963E+01      0.23387731E+01
      2074      0.20001306E+01      0.19367650E+01      0.24422709E+01      0.18288073E+01      0.19353612E+01
      2075      0.20515029E+01      0.18884802E+01      0.26272558E+01      0.17480378E+01      0.24918569E+01
      2076      0.19756268E+01      0.16848596E+01      0.27075068E+01      0.15900376E+01      0.27654877E+01
      2077      0.20317851E+01      0.18987026E+01      0.26380437E+01      0.18169101E+01      0.19951680E+01
      2078      0.20051499E+01      0.17972542E+01      0.24521815E+01      0.18720149E+01      0.21861165E+01
      2079      0.20080423E+01      0.16728015E+01      0.27540054E+01      0.17270807E+01      0.24989700E+01
      2080      0.18838310E+01      0.17156041E+01      0.22191823E+01      0.17381133E+01      0.22259318E+01
      2081      0.19895144E+01      0.18512124E+01      0.24173177E+01      0.17915987E+01      0.22604243E+01
      2082      0.20474792E+01      0.18956522E+01      0.24925029E+01      0.18028873E+01      0.24968948E+01
      2083      0.20946912E+01      0.19478201E+01      0.28027217E+01      0.16971644E+01      0.25797323E+01
      2084      0.20050285E+01      0.18073536E+01      0.28234329E+01      0.16110764E+01      0.23961894E+01
      2085      0.19081771E+01      0.17872347E+01      0.24436518E+01      0.15919730E+01      0.23607890E+01
      2086      0.19080052E+01      0.18202137E+01      0.23560638E+01      0.16561627E+01      0.22017670E+01
      2087      0.18911137E+01      0.18395407E+01      0.23658727E+01      0.15983650E+01      0.21853282E+01
